Año;Trimestre;Dial Up;Banda Ancha Fija;Banda Ancha Movil Dedicada;Total Banda Ancha;Total Suscriptores Tradicionales;Banda Ancha Movil Normalizada;Total Suscriptores
2000;IV;266925;0;0;6612;273537;0;273537
2001;I;245736;0;0;9057;254793;0;254793
2001;II;251507;0;0;14752;266259;0;266259
2001;III;257427;0;0;26864;284291;0;284291
2001;IV;268133;0;0;36636;304769;0;304769
2002;I;250098;0;0;43886;293984;0;293984
2002;II;238088;0;0;52849;290937;0;290937
2002;III;239397;0;0;65837;305234;0;305234
2002;IV;237413;0;0;78151;315564;0;315564
2003;I;194470;0;0;82876;277346;0;277346
2003;II;199925;0;0;93732;293657;0;293657
2003;III;202347;0;0;104443;306790;0;306790
2003;IV;205550;0;0;116997;322547;0;322547
2004;I;217957;0;0;131208;349165;0;349165
2004;II  ;226761;0;0;150316;377077;0;377077
2004;III  ;244027;0;0;175350;419377;0;419377
2004;IV  ;249068;0;0;210265;459333;0;459333
2005;I  ;249624;0;0;240313;489937;0;489937
2005;II  ;255692;0;0;269859;525551;0;525551
2005;III  ;262394;0;0;307332;569726;0;569726
2005;IV  ;280503;0;0;356262;636765;0;636765
2006;I;280337;0;0;398725;679062;0;679062
2006;II;268236;0;0;439398;707634;0;707634
2006;III;228047;0;0;487310;715357;0;715357
2006;IV;222075;0;0;537626;759701;0;759701
2007;I;157425;0;0;603110;760535;0;760535
2007;II;151233;0;0;688340;839573;0;839573
2007;III;147178;0;0;780878;928056;0;928056
2007;IV;145277;0;0;857812;1003089;0;1003089
2008;I;141303;0;0;1022472;1163775;0;1163775
2008;II;133983;0;0;1114534;1248517;0;1248517
2008;III;139362;0;0;1220138;1359500;0;1359500
2008;IV;142727;0;0;1330206;1472933;0;1472933
2009;I;143341;1229283;339142;1568425;1711766;0;1711766
2009;II;153737;1291374;394093;1685467;1839204;0;1839204
2009;III;161135;1333868;448641;1782509;1943644;0;1943644
2009;IV;172786;1401221;564382;1965603;2138389;0;2138389
2010;I;185124;1448592;675719;2124311;2309435;0;2309435
2010;II;200870;1542755;792575;2335330;2536200;0;2536200
2010;III;230448;1600913;839535;2440448;2670896;0;2670896
2010;IV;243931;1673007;884074;2557081;2801012;0;2801012
2011;I;257036;1663455;978075;2641530;2898566;0;2898566
2011;II;256972;1720946;1087200;2808146;3065118;0;3065118
2011;III;274750;1769404;1116490;2885894;3160644;0;3160644
2011;IV;238132;1810483;1231982;3042465;3280597;0;3280597
2012;I;256535;1852312;1305162;3157474;3414009;0;3414009
2012;II;219423;1907742;1316799;3224541;3443964;0;3443964
2012;III;222898;1976238;1357919;3334157;3557055;0;3557055
2012;IV;228335;2036641;1419754;3456395;3684730;0;3684730
2013;I;227213;2105781;1295186;3400967;3628180;0;3628180
2013;II;230011;2163546;1211063;3374609;3604620;0;3604620
2013;III;240336;2204719;1165712;3370431;3610767;0;3610767
2013;IV;221732;2259574;1135194;3394768;3616500;0;3616500
2014;I;226445;2304743;1095230;3399973;3626418;0;3626418
2014;II;230155;2363724;1071025;3434749;3664904;0;3664904
2014;III;235055;2403137;1026535;3429672;3664727;11556308;15221035
2014;IV;240281;2430354;1018339;3448693;3688974;12547433;16236407
2015;I;248404;2461563;972957;3434520;3682924;12680531;16363455
2015;II;251483;2504396;900517;3404913;3656396;12897092;16553488
2015;III;253285;2536846;841868;3378714;3631999;12748944;16380943
2015;IV;253808;2589713;814648;3404361;3658169;12633213;16291382
2016;I;250688;2577624;760487;3338111;3588799;12896567;16485366
2016;II;247433;2587449;721553;3309002;3556435;12888018;16444453
2016;III;247443;2586421;690444;3276865;3524308;13202131;16726439
2016;IV;247449;2613991;692014;3306005;3553454;15258288;18811742
2017;I;247450;2613604;717643;3331247;3578697;15874545;19453242
2017;II;247445;2612756;728211;3340967;3588412;14849481;18437893
2017;III;247443;2610407;748850;3359257;3606700;14921732;18528432
2017;IV;247442;2607829;765139;3372968;3620410;14951872;18572282
2018;I;247440;2602005;911340;3513345;3760785;14347550;18108335
